"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"199",19120,2022-05-08,"San Marino","SMR",0,0,0,0,13.89
"200",19120,2022-05-08,"Saudi Arabia","SAU",0,0,0,0,40.46
"201",19120,2022-05-08,"Serbia","SRB",0,0,0,0,11.11
"202",19120,2022-05-08,"Singapore","SGP",0,0,0,0,27.92
"203",19120,2022-05-08,"Slovakia","SVK",0,0,0,0,14.81
"204",19120,2022-05-08,"Slovenia","SVN",0.156065734294665,0.0321371544412762,0.18200085632031,0.0374777311268528,14.25
"205",19120,2022-05-08,"South Africa","ZAF",0,0,0,0,36.05
"206",19120,2022-05-08,"Spain","ESP",0.174567015217386,0.0153493146677692,0.241081363371615,0.0211977829965049,27.59
"207",19120,2022-05-08,"Sudan","SDN",0,0,0,0,13.89
"208",19120,2022-05-08,"Sweden","SWE",0.182331425506191,0.0152985166856236,0.205120289690844,0.0172106161386248,11.11
"209",19120,2022-05-08,"Switzerland","CHE",0.206992468731288,0.0153294714618181,0.232863616527492,0.0172454398265475,11.11
"210",19120,2022-05-08,"Thailand","THA",0,0,0,0,41.2
"211",19120,2022-05-08,"The United Kingdom","GBR",0.780649690900134,0.0182210360145823,0.878219924513594,0.020498409286289,11.11
"212",19120,2022-05-08,"T鐪塺kiye","TUR",0,0,0,0,13.89
"213",19120,2022-05-08,"Ukraine","UKR",0,0,0,0,61.46
"214",19120,2022-05-08,"United Arab Emirates","ARE",0,0,0,0,32.26
"215",19120,2022-05-08,"United States of America","USA",0.160283054076465,0.0150797186987661,0.222491746358225,0.0209324246234954,27.96
"216",19120,2022-05-08,"Uruguay","URY",0,0,0,0,13.89
"217",19120,2022-05-08,"Venezuela (Bolivarian Republic of)","VEN",0,0,0,0,25
"218",19120,2022-05-08,"Viet Nam","VNM",0,0,0,0,28.7
"219",19121,2022-05-09,"Andorra","AND",0,0,0,0,8.33
"220",19121,2022-05-09,"Argentina","ARG",0.113310717237748,0.0420765694463779,0.137479637512433,0.0510514067536737,17.58
"221",19121,2022-05-09,"Aruba","ABW",0,0,0,0,25.93
