"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"257",0.857004194924264,0.853331167634325,0,0,0,0.256550304383788,"France","FRA",19121
"258",0.865231565255363,0.956726880861345,0,1,1,0.873293766917506,"The United Kingdom","GBR",19121
"259",0,0,0,0,0,0,"Georgia","GEO",19121
"260",0,0,0,0,0,0,"Ghana","GHA",19121
"261",0,0,0,0,0,0,"Gibraltar","GIB",19121
"262",0,0,0,0,0,0,"Guadeloupe","GLP",19121
"263",0.878826845007551,0.409677923524065,0,0,0,0.193275715279742,"Greece","GRC",19121
"264",0,0,0,0,0,0,"Greenland","GRL",19121
"265",1,0,0,0,0,0.15,"Guatemala","GTM",19121
"266",0,0,0,0,0,0,"Guam","GUM",19121
"267",0,0,0,0,0,0,"Guyana","GUY",19121
"268",0,0,0,0,0,0,"Honduras","HND",19121
"269",0,0,0,0,0,0,"Croatia","HRV",19121
"270",0.888001338370115,0.534525165110361,0,0,0,0.213378975522071,"Hungary","HUN",19121
"271",0,0,0,0,0,0,"Indonesia","IDN",19121
"272",0,0,0,0,0,0,"India","IND",19121
"273",0.844412088296775,0.51890281904863,0,0,0,0.204497236101811,"Ireland","IRL",19121
"274",0,0,0,0,0,0,"Iran (Islamic Republic of)","IRN",19121
"275",0,0,0,0,0,0,"Iceland","ISL",19121
"276",0.866229841100748,0.595596289579302,0,0,0,0.219273919602008,"Israel","ISR",19121
"277",0.851526676019315,0.690060740813848,0,0,0,0.231238112524974,"Italy","ITA",19121
"278",0,0,0,0,0,0,"Jamaica","JAM",19121
"279",0,0,0,0,0,0,"Jordan","JOR",19121
"280",0,0,0,0,0,0,"Japan","JPN",19121
"281",0,0,0,0,0,0,"Republic of Korea","KOR",19121
"282",0,0,0,0,0,0,"Lebanon","LBN",19121
"283",0,0,0,0,0,0,"Liberia","LBR",19121
"284",0,0,0,0,0,0,"Lithuania","LTU",19121
"285",0.895548291939461,0.398316899684575,0,0,0,0.194079778743605,"Luxembourg","LUX",19121
"286",0,0,0,0,0,0,"Latvia","LVA",19121
"287",0,0,0,0,0,0,"Saint Martin","MAF",19121
"288",0,0,0,0,0,0,"Morocco","MAR",19121
"289",0,0,0,0,0,0,"Monaco","MCO",19121
"290",0,0,0,0,0,0,"Republic of Moldova","MDA",19121
"291",0.780403793901545,0.50218221382001,0,0,0,0.192387901158233,"Mexico","MEX",19121
"292",0,0,0,0,0,0,"Malta","MLT",19121
"293",0,0,0,0,0,0,"Montenegro","MNE",19121
"294",0,0,0,0,0,0,"Mozambique","MOZ",19121
"295",0,0,0,0,0,0,"Martinique","MTQ",19121
"296",0,0,0,0,0,0,"New Caledonia","NCL",19121
"297",0.835491535586939,0.350870488603919,0,0,0,0.177954303628629,"Nigeria","NGA",19121
